ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
10684875,HZ438216,09/01/2016 12:30:00 AM,038XX N CENTRAL PARK AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,RESIDENCE,false,false,1732,017,35,16,07,1151706,1925349,2016,09/19/2016 03:49:04 PM,41.951036632,-87.717735127,"(41.951036632, -87.717735127)"
10670887,HZ422546,09/01/2016 12:30:00 AM,065XX S DR MARTIN LUTHER KING JR DR,5002,OTHER OFFENSE,OTHER VEHICLE OFFENSE,HOTEL/MOTEL,false,false,0312,003,20,69,26,1180046,1861701,2016,09/08/2016 03:48:43 PM,41.775777017,-87.615515787,"(41.775777017, -87.615515787)"
10665970,HZ416610,09/01/2016 12:30:00 AM,027XX N HARLEM AVE,0610,BURGLARY,FORCIBLE ENTRY,SMALL RETAIL STORE,false,false,2512,025,36,18,05,1127616,1917532,2016,09/08/2016 03:48:43 PM,41.930026507,-87.806466966,"(41.930026507, -87.806466966)"
10665712,HZ416424,09/01/2016 12:30:00 AM,037XX N OSCEOLA AVE,0820,THEFT,$500 AND UNDER,VEHICLE NON-COMMERCIAL,false,false,1631,016,36,17,06,1125741,1923979,2016,09/08/2016 03:48:43 PM,41.947749287,-87.813213525,"(41.947749287, -87.813213525)"
10665596,HZ415755,09/01/2016 12:30:00 AM,055XX N WINTHROP AVE,0430,BATTERY,AGGRAVATED: OTHER DANG WEAPON,APARTMENT,false,false,2023,020,48,77,04B,1167869,1936941,2016,09/08/2016 03:48:43 PM,41.982511524,-87.65798498,"(41.982511524, -87.65798498)"
10664968,HZ415703,09/01/2016 12:30:00 AM,047XX W 84TH PL,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,0834,008,18,70,14,1146278,1847920,2016,09/08/2016 03:48:43 PM,41.738666286,-87.739655906,"(41.738666286, -87.739655906)"
10664966,HZ415681,09/01/2016 12:30:00 AM,066XX S STONY ISLAND AVE,0312,ROBBERY,ARMED:KNIFE/CUTTING INSTRUMENT,ATM (AUTOMATIC TELLER MACHINE),false,false,0321,003,5,42,03,1188019,1861082,2016,09/08/2016 03:48:43 PM,41.773892091,-87.58630763,"(41.773892091, -87.58630763)"
10664942,HZ415610,09/01/2016 12:30:00 AM,009XX N LARAMIE AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,false,true,1531,015,37,25,14,1141518,1905847,2016,09/08/2016 03:48:43 PM,41.8977158,-87.755669081,"(41.8977158, -87.755669081)"
10664843,HZ415625,09/01/2016 12:34:00 AM,036XX W IRVING PARK RD,2820,OTHER OFFENSE,TELEPHONE THREAT,STREET,false,false,1732,017,33,16,26,1151505,1926339,2016,09/08/2016 03:48:43 PM,41.953757223,-87.718447888,"(41.953757223, -87.718447888)"
10669334,HZ420861,09/01/2016 12:40:00 AM,071XX S CHAMPLAIN AVE,1345,CRIMINAL DAMAGE,TO CITY OF CHICAGO PROPERTY,ALLEY,false,false,0323,003,6,69,14,1181801,1857770,2016,09/08/2016 03:48:43 PM,41.764949586,-87.609203516,"(41.764949586, -87.609203516)"
